Source,Source type,Table name,Column name,Data type,Link table,Link colomn,Column1,Column2,Column3,Column4,Column5,Column6
,,,,,,,,,,,,
Datafiniti_Hotel_Reviews,CSV file,Usertbl,userID,int,,,,,,,,
,,,username,nvarchar(),,,,,,,,
,,,userProvince,nvarchar(),,,,,,,,
,,,userCity,nvarchar(),,,,,,,,
,,,inserted date,DateTime,,,,,,,,
,,,moodified date,DateTime,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Reviewtbl,reviewID,int,,,,,,,,
,,,reviews_text,nvarchar(),,,,,,,,
,,,reviews_title,nvarchar(),,,,,,,,
,,,reviews_rating,float,,,,,,,,
,,,inserted date,DateTime,,,,,,,,
,,,moodified date,DateTime,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Hoteltbl,h_id,int,,,,,,,,
,,,hotel_name,nvarchar(),,,,,,,,
,,,dateAdded,DateTime,,,,,,,,
,,,dateUpdated,DateTime,,,,,,,,
,,,Price per night($),float,,,,,,,,
,,,no.of.reserved rooms,float,,,,,,,,
,,,totalAmount,float,,,,,,,,
,,,inserted date,DateTime,,,,,,,,
,,,moodified date,DateTime,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,HotelCategory,HotelCategoryID,int,,,,,,,,
,,,hotel_id,int,,,,,,,,
,,,categories,nvarchar(),,,,,,,,
,,,primaryCategories,nvarchar(),,,,,,,,
,,,inserted date,DateTime,,,,,,,,
,,,moodified date,DateTime,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Location.txt,Text file,Locationtbl,locationID,int,,,,,,,,
,,,address,nvarchar(),,,,,,,,
,,,city,nvarchar(),,,,,,,,
,,,province,nvarchar(),,,,,,,,
,,,country,nvarchar(),,,,,,,,
,,,postalCode,nvarchar(),,,,,,,,
,,,inserted date,DateTime,,,,,,,,
,,,moodified date,DateTime,,,,,,,,
