h_id,hotel_name,dateAdded,dateUpdated,Price per night($),no.of.reserved rooms,totalAmount
1,Rancho Valencia Resort Spa,2016-10-30T21:42:42Z,2018-09-10T21:06:27Z,50,3,150
2,Rancho Valencia Resort Spa,2016-10-30T21:42:42Z,2018-09-10T21:06:27Z,50,2,100
3,Rancho Valencia Resort Spa,2016-10-30T21:42:42Z,2018-09-10T21:06:27Z,50,2,100
4,Aloft Arundel Mills,2015-11-28T19:19:35Z,2018-09-10T21:06:16Z,50,2,100
5,Aloft Arundel Mills,2015-11-28T19:19:35Z,2018-09-10T21:06:16Z,50,2,100
6,Aloft Arundel Mills,2015-11-28T19:19:35Z,2018-09-10T21:06:16Z,50,2,100
7,Aloft Arundel Mills,2015-11-28T19:19:35Z,2018-09-10T21:06:16Z,50,1,50
8,Aloft Arundel Mills,2015-11-28T19:19:35Z,2018-09-10T21:06:16Z,50,4,200
9,Aloft Arundel Mills,2015-11-28T19:19:35Z,2018-09-10T21:06:16Z,50,2,100
10,Hampton Inn Suites PortlandVancouver,2016-03-23T04:22:41Z,2018-09-10T21:06:09Z,50,2,100
11,Hampton Inn Suites PortlandVancouver,2016-03-23T04:22:41Z,2018-09-10T21:06:09Z,50,2,100
12,Hampton Inn Suites PortlandVancouver,2016-03-23T04:22:41Z,2018-09-10T21:06:09Z,50,4,200
13,Hampton Inn Suites PortlandVancouver,2016-03-23T04:22:41Z,2018-09-10T21:06:09Z,50,2,100
14,Hampton Inn Suites PortlandVancouver,2016-03-23T04:22:41Z,2018-09-10T21:06:09Z,50,3,150
15,Hampton Inn Suites PortlandVancouver,2016-03-23T04:22:41Z,2018-09-10T21:06:09Z,50,4,200
16,Hotel Phillips,2016-11-06T19:19:17Z,2018-09-10T21:05:27Z,50,3,150
17,Hotel Phillips,2016-11-06T19:19:17Z,2018-09-10T21:05:27Z,50,4,200
18,Hotel Phillips,2016-11-06T19:19:17Z,2018-09-10T21:05:27Z,50,4,200
19,Hotel Phillips,2016-11-06T19:19:17Z,2018-09-10T21:05:27Z,50,4,200
20,Hotel Phillips,2016-11-06T19:19:17Z,2018-09-10T21:05:27Z,56.25,4,225
