h_id,accm_txn_complete_time
1,5/14/2022
2,5/15/2022
3,5/16/2022
4,5/17/2022
5,5/18/2022
6,5/19/2022
7,5/20/2022
8,5/21/2022
9,5/22/2022
10,5/23/2022
11,5/24/2022
12,5/25/2022
13,5/26/2022
14,5/27/2022
15,5/28/2022
16,5/29/2022
17,5/30/2022
18,5/31/2022
19,06-01-22
20,06-02-22
21,06-03-22
22,06-04-22
23,06-05-22
24,06-06-22
25,06-07-22
26,06-08-22
27,06-09-22
28,06-10-22
29,06-11-22
30,06-12-22
31,6/13/2022
32,6/14/2022
33,5/15/2022
34,5/16/2022
35,5/17/2022
36,5/18/2022
37,5/19/2022
38,5/20/2022
39,5/21/2022
40,5/22/2022
41,5/23/2022
42,5/24/2022
43,5/25/2022
44,5/26/2022
45,5/27/2022
46,5/28/2022
47,5/29/2022
48,5/30/2022
49,5/31/2022
50,06-01-22
51,06-02-22
52,06-03-22
53,06-04-22
54,06-05-22
55,06-06-22
56,06-07-22
57,06-08-22
58,06-09-22
59,06-10-22
60,06-11-22
61,06-12-22
62,6/13/2022
63,6/14/2022
64,5/15/2022
65,5/16/2022
66,5/17/2022
67,5/18/2022
68,5/19/2022
69,5/20/2022
70,5/21/2022
71,5/22/2022
72,5/23/2022
73,5/24/2022
74,5/25/2022
75,5/26/2022
76,5/27/2022
77,5/28/2022
78,5/29/2022
79,5/30/2022
80,5/31/2022
81,06-01-22
82,06-02-22
83,06-03-22
84,06-04-22
85,06-05-22
86,06-06-22
87,06-07-22
88,06-08-22
89,06-09-22
90,06-10-22
91,06-11-22
92,06-12-22
93,6/13/2022
94,6/14/2022
95,5/15/2022
96,5/16/2022
97,5/17/2022
98,5/18/2022
99,5/19/2022
100,5/20/2022
101,5/21/2022
102,5/22/2022
103,5/23/2022
104,5/24/2022
105,5/25/2022
106,5/26/2022
107,5/27/2022
108,5/28/2022
109,5/29/2022
110,5/30/2022
111,5/31/2022
112,06-01-22
113,06-02-22
114,06-03-22
115,06-04-22
116,06-05-22
117,06-06-22
118,06-07-22
119,06-08-22
120,06-09-22
121,06-10-22
122,06-11-22
123,06-12-22
124,6/13/2022
125,6/14/2022
126,5/15/2022
127,5/16/2022
128,5/17/2022
129,5/18/2022
130,5/19/2022
131,5/20/2022
132,5/21/2022
133,5/22/2022
134,5/23/2022
135,5/24/2022
136,5/25/2022
137,5/26/2022
138,5/27/2022
139,5/28/2022
140,5/29/2022
141,5/30/2022
142,5/31/2022
143,06-01-22
144,06-02-22
145,06-03-22
146,06-04-22
147,06-05-22
148,06-06-22
149,06-07-22
150,06-08-22
151,06-09-22
152,06-10-22
153,06-11-22
154,06-12-22
155,6/13/2022
156,6/14/2022
157,5/15/2022
158,5/16/2022
159,5/17/2022
160,5/18/2022
161,5/19/2022
162,5/20/2022
163,5/21/2022
164,5/22/2022
165,5/23/2022
166,5/24/2022
167,5/25/2022
168,5/26/2022
169,5/27/2022
170,5/28/2022
171,5/29/2022
172,5/30/2022
173,5/31/2022
174,06-01-22
175,06-02-22
176,06-03-22
177,06-04-22
178,06-05-22
179,06-06-22
180,06-07-22
181,06-08-22
182,06-09-22
183,06-10-22
184,06-11-22
185,06-12-22
186,6/13/2022
187,6/14/2022
188,5/14/2022
189,5/15/2022
190,5/16/2022
191,5/17/2022
192,5/18/2022
193,5/19/2022
194,5/20/2022
195,5/21/2022
196,5/22/2022
197,5/23/2022
198,5/24/2022
199,5/25/2022
200,5/26/2022
201,5/27/2022
202,5/28/2022
203,5/29/2022
204,5/30/2022
205,5/31/2022
206,06-01-22
207,06-02-22
208,06-03-22
209,06-04-22
210,06-05-22
211,06-06-22
212,06-07-22
213,06-08-22
214,06-09-22
215,06-10-22
216,06-11-22
217,06-12-22
218,6/13/2022
219,6/14/2022
220,5/15/2022
221,5/16/2022
222,5/17/2022
223,5/18/2022
224,5/19/2022
225,5/20/2022
226,5/21/2022
227,5/22/2022
228,5/23/2022
229,5/24/2022
230,5/25/2022
231,5/26/2022
232,5/27/2022
233,5/28/2022
234,5/29/2022
235,5/30/2022
236,5/31/2022
237,06-01-22
238,06-02-22
239,06-03-22
240,06-04-22
241,06-05-22
242,06-06-22
243,06-07-22
244,06-08-22
245,06-09-22
246,06-10-22
247,06-11-22
248,06-12-22
249,6/13/2022
250,6/14/2022
251,5/15/2022
252,5/16/2022
253,5/17/2022
254,5/18/2022
255,5/19/2022
256,5/20/2022
257,5/21/2022
258,5/22/2022
259,5/23/2022
260,5/24/2022
261,5/25/2022
262,5/26/2022
263,5/27/2022
264,5/28/2022
265,5/29/2022
266,5/30/2022
267,5/31/2022
268,06-01-22
269,06-02-22
270,06-03-22
271,06-04-22
272,06-05-22
273,06-06-22
274,06-07-22
275,06-08-22
276,06-09-22
277,06-10-22
278,06-11-22
279,06-12-22
280,6/13/2022
281,6/14/2022
282,5/15/2022
283,5/16/2022
284,5/17/2022
285,5/18/2022
286,5/19/2022
287,5/20/2022
288,5/21/2022
289,5/22/2022
290,5/23/2022
291,5/24/2022
292,5/25/2022
293,5/26/2022
294,5/27/2022
295,5/28/2022
296,5/29/2022
297,5/30/2022
298,5/31/2022
299,06-01-22
300,06-02-22
301,06-03-22
302,06-04-22
303,06-05-22
304,06-06-22
305,06-07-22
306,06-08-22
307,06-09-22
308,06-10-22
309,06-11-22
310,06-12-22
311,6/13/2022
312,6/14/2022
313,5/15/2022
314,5/16/2022
315,5/17/2022
316,5/18/2022
317,5/19/2022
318,5/20/2022
319,5/21/2022
320,5/22/2022
321,5/23/2022
322,5/24/2022
323,5/25/2022
324,5/26/2022
325,5/27/2022
326,5/28/2022
327,5/29/2022
328,5/30/2022
329,5/31/2022
330,06-01-22
331,06-02-22
332,06-03-22
333,06-04-22
334,06-05-22
335,06-06-22
336,06-07-22
337,06-08-22
338,06-09-22
339,06-10-22
340,06-11-22
341,06-12-22
342,6/13/2022
343,6/14/2022
344,5/15/2022
345,5/16/2022
346,5/17/2022
347,5/18/2022
348,5/19/2022
349,5/20/2022
350,5/21/2022
351,5/22/2022
352,5/23/2022
353,5/24/2022
354,5/25/2022
355,5/26/2022
356,5/27/2022
357,5/28/2022
358,5/29/2022
359,5/30/2022
360,5/31/2022
361,06-01-22
362,06-02-22
363,06-03-22
364,06-04-22
365,06-05-22
366,06-06-22
367,06-07-22
368,06-08-22
369,06-09-22
370,06-10-22
371,06-11-22
372,06-12-22
373,6/13/2022
374,6/14/2022
375,5/14/2022
376,5/15/2022
377,5/16/2022
378,5/17/2022
379,5/18/2022
380,5/19/2022
381,5/20/2022
382,5/21/2022
383,5/22/2022
384,5/23/2022
385,5/24/2022
386,5/25/2022
387,5/26/2022
388,5/27/2022
389,5/28/2022
390,5/29/2022
391,5/30/2022
392,5/31/2022
393,06-01-22
394,06-02-22
395,06-03-22
396,06-04-22
397,06-05-22
398,06-06-22
399,06-07-22
400,06-08-22
401,06-09-22
402,06-10-22
403,06-11-22
404,06-12-22
405,6/13/2022
406,6/14/2022
407,5/15/2022
408,5/16/2022
409,5/17/2022
410,5/18/2022
411,5/19/2022
